"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"link";"indicio_dependencia";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"18";"RJ";"COMPANHIA DO METROPOLITANO DO RIO DE JANEIRO  METRÔ EL";"EM LIQUIDAÇÃO";"TRANSPORTE";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-811391180,75;-144237772,7;"NÃO";"NÃO";"NÃO";0;"Não";0;30000;0;0;20322,36;14851,29;0;0;0;NA;"DEPENDENTE";"Rio de Janeiro";"Sudeste";FALSE;FALSE;-20322,36
"19";"RR";"COMPANHIA ENERGÉTICA DE RORAIMA  CERR";"EM LIQUIDAÇÃO";"ENERGIA";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-237720762,51;794215,69;"SIM";"SIM";"NÃO";277640,27;"Não";257;0;29816641,1;0;32625398,38;7079730,07;0;0;82331953,11;"https://www,imprensaoficial,rr,gov,br/app/_visualizar-doe/";"DEPENDENTE";"Roraima";"Norte";FALSE;FALSE;-32625398,38
"20";"RJ";"COMPANHIA FLUMINENSE DE SECURITIZAÇÃO SA EM LIQUIDAÇÃO ORDINÁRIA";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-174637,05;-2196,08;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;"0";"NÃO DEPENDENTE";"Rio de Janeiro";"Sudeste";FALSE;FALSE;0
"21";"RJ";"COMPANHIA FLUMINENSE DE TRENS URBANOS  FLUMITRENS EL";"EM LIQUIDAÇÃO";"TRANSPORTE";"EMPRESA PÚBLICA";"Dependente";-1377672894,59;-158849929,86;"NÃO";"NÃO";"NÃO";0;"Não";5;6436544;420931,44;0;3405335,61;3144093,62;0;0;0;NA;"DEPENDENTE";"Rio de Janeiro";"Sudeste";FALSE;FALSE;-3405335,61
"22";"MT";"COMPANHIA MATOGROSSENSE DE GAS";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";0;0;"SIM";"SIM";"NÃO";328577,76;"Não";21;852340,08;4524613,93;0;113581,49;8011265,49;0;0;0;"-";"DEPENDENTE";"Mato Grosso";"Centro-oeste";FALSE;FALSE;-113581,49
"23";"RO";"COMPANHIA RONDONIENSE DE GÁS  RONGÁS";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-1666608,18;385507,13;"SIM";"SIM";"NÃO";144000;"Não";1;0;321109,35;0;0;0;0;0;255000;"-";"NÃO DEPENDENTE";"Rondônia";"Norte";FALSE;FALSE;0
"24";"PE";"CONSORCIO DE TRANSPORTES DA REGIAO METROPOLITANA DO RECIFE";"ATIVA";"TRANSPORTE";"EMPRESA PÚBLICA";"Dependente";-187784489,59;7223990;"SIM";"SIM";"NÃO";333785,58;"Não";615;1431460;188440964,63;0;501792914,06;456342055,38;0;0;424300;"https://www,granderecife,pe,gov,br/institucional/governanca/instrumentos-de-governanca/";"DEPENDENTE";"Pernambuco";"Nordeste";FALSE;FALSE;-501792914,06
"25";"GO";"Caixa Econômica do Estado de Goiás";"EM LIQUIDAÇÃO";"FINANCEIRO";"EMPRESA PÚBLICA";"Não Dependente";-425197217,7;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"NÃO DEPENDENTE";"Goiás";"Centro-oeste";FALSE;FALSE;0
"26";"AM";"Cia de Saneamento do Amazonas";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-22972208,93;-8231341,87;"SIM";"SIM";"NÃO";469688,87;"Não";522;4303097,24;45340671,37;0;49576265,74;47283701,48;1290000;4042877,04;0;"Não foi publicada carta anual,";"DEPENDENTE";"Amazonas";"Norte";FALSE;FALSE;-50866265,74
"27";"DF";"Companhia Brasiliense de Gás";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-1493762,37;-1029544,37;"SIM";"SIM";"NÃO";199511,49;"Não";1;0;378614,51;0;0;0;162500;318750;0;NA;"NÃO DEPENDENTE";"Distrito Federal";"Centro-oeste";FALSE;FALSE;-162500
"28";"PB";"Companhia Estadual de Habitação Popular";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";0;0;"SIM";"SIM";"NÃO";406026,23;"Não";237;31260219,86;17305120,89;0;56120836,14;53199465,78;5211746,28;22343838,7;10059079;NA;"DEPENDENTE";"Paraíba";"Nordeste";FALSE;FALSE;-61332582,42
"29";"RS";"Companhia Estadual de Silos e Armazéns  CESA";"EM LIQUIDAÇÃO";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-544855831,86;-86771443,98;"SIM";"SIM";"NÃO";725692,78;"Não";13;0;4276378,51;0;1,7e+07;19200000;0;0;156662573,61;NA;"NÃO DEPENDENTE";"Rio Grande do Sul";"Sul";FALSE;FALSE;-1,7e+07
"30";"AC";"Companhia Industrial de Laticínios do Acre  CILA";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"EMPRESA PÚBLICA";"Dependente";-88773662,59;142443,37;"SIM";"SIM";"NÃO";2183003,74;"Não";29;1686,87;2497093,78;0;2820871,21;2317412,32;0;0;0;NA;"DEPENDENTE";"Acre";"Norte";FALSE;FALSE;-2820871,21
"31";"SC";"Companhia Integrada de Desenvolvimento Agrícola de Santa Catarina";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";-24341896,09;-4523290,33;"SIM";"SIM";"NÃO";493394,96;"Não";1400;3496435,63;257000723,78;0;262956555,83;253733123,93;0;0;0;"https://www,cidasc,sc,gov,br/wp-content/uploads/2024/05/CAGC-2024,docx,pdf";"DEPENDENTE";"Santa Catarina";"Sul";FALSE;FALSE;-262956555,83
